"tissue","sample","individual","r","outlier"
"FCTX","GSM395050","1936",0.994298373784108,FALSE
"FCTX","GSM395051","1939",0.986167990053794,FALSE
"FCTX","GSM395052","1940",0.987549938036129,FALSE
"FCTX","GSM395053","1961",0.992752938329158,FALSE
"FCTX","GSM395054","2000",0.979649717580733,FALSE
"FCTX","GSM395055","2020",0.994415800020014,FALSE
"FCTX","GSM395056","2037",0.993151785765213,FALSE
"FCTX","GSM395057","2066",0.992845281520833,FALSE
"FCTX","GSM395058","2069",0.969658144041117,FALSE
"FCTX","GSM395059","2093",0.989654714102276,FALSE
"FCTX","GSM395060","2102",0.991563464285995,FALSE
"FCTX","GSM395061","4263",0.986543334103049,FALSE
"FCTX","GSM395062","4540",0.984324351057752,FALSE
"FCTX","GSM395063","4542",0.993252611570958,FALSE
"FCTX","GSM395064","4543",0.988539476599086,FALSE
"FCTX","GSM395065","4545",0.990737460461808,FALSE
"FCTX","GSM395066","4549",0.97712890317932,FALSE
"FCTX","GSM395067","4590",0.99431275291788,FALSE
"FCTX","GSM395068","4593",0.992648740959506,FALSE
"FCTX","GSM395069","4598",0.993345387022318,FALSE
"FCTX","GSM395070","4636",0.990020367894361,FALSE
"FCTX","GSM395071","4640",0.982268181349242,FALSE
"FCTX","GSM395072","4725",0.992522909403131,FALSE
"FCTX","GSM395073","4726",0.989482917441985,FALSE
"FCTX","GSM395074","4727",0.991306320207217,FALSE
"FCTX","GSM394959","4729",0.987150750966166,FALSE
"FCTX","GSM394960","4782",0.988086759052637,FALSE
"FCTX","GSM394961","4786",0.98394916096542,FALSE
"FCTX","GSM394962","4788",0.753140707251905,TRUE
"FCTX","GSM394963","4789",0.984199888872424,FALSE
"FCTX","GSM394957","4841",0.89570873196155,TRUE
"FCTX","GSM395075","4842",0.989795862803778,FALSE
"FCTX","GSM395076","4903",0.986706697545107,FALSE
"FCTX","GSM394958","4915",0.876256242186229,TRUE
"FCTX","GSM395077","4916",0.994471357861392,FALSE
"FCTX","GSM395078","4924",0.992558111513623,FALSE
"FCTX","GSM395079","5024",0.989848350945125,FALSE
"FCTX","GSM395080","5028",0.994035871798504,FALSE
"FCTX","GSM395081","5078",0.985198528782077,FALSE
"FCTX","GSM395088","5079",0.990678800861625,FALSE
"FCTX","GSM394964","5081",0.94156808098897,FALSE
"FCTX","GSM394965","5086",0.985910703362203,FALSE
"FCTX","GSM394966","5087",0.989791417106429,FALSE
"PONS","GSM395115","142",0.986735324526384,FALSE
"PONS","GSM395116","384",0.962385493763002,FALSE
"PONS","GSM395230","602",0.973452006756195,FALSE
"PONS","GSM395117","604",0.95903914661491,FALSE
"PONS","GSM395118","705",0.972153062678644,FALSE
"PONS","GSM395119","710",0.988631554154193,FALSE
"PONS","GSM395120","712",0.988583584232297,FALSE
"PONS","GSM395121","713",0.979776877879066,FALSE
"PONS","GSM395122","719",0.99096929776178,FALSE
"PONS","GSM395123","745",0.984127871788132,FALSE
"PONS","GSM395124","813",0.985880995717881,FALSE
"PONS","GSM395125","819",0.969482216177962,FALSE
"PONS","GSM395126","827",0.990134731500515,FALSE
"PONS","GSM395127","871",0.981663137166623,FALSE
"PONS","GSM395128","879",0.976573486140277,FALSE
"PONS","GSM395129","880",0.973027610230009,FALSE
"PONS","GSM395130","914",0.98468006067017,FALSE
"PONS","GSM395131","927",0.979773761610618,FALSE
"PONS","GSM395132","933",0.985497107996989,FALSE
"PONS","GSM395133","993",0.989774120100501,FALSE
"PONS","GSM395134","994",0.978809143584402,FALSE
"PONS","GSM395135","1037",0.987348924875552,FALSE
"PONS","GSM395136","1064",0.956441808046823,FALSE
"PONS","GSM395137","1065",0.987878040718913,FALSE
"PONS","GSM395138","1076",0.961353524030374,FALSE
"PONS","GSM395139","1078",0.965962814645507,FALSE
"PONS","GSM395140","1079",0.980171598270003,FALSE
"PONS","GSM395141","1104",0.97107140642324,FALSE
"PONS","GSM395142","1105",0.980907007014136,FALSE
"PONS","GSM395143","1114",0.98846486655298,FALSE
"PONS","GSM395144","1133",0.973489048768242,FALSE
"PONS","GSM395145","1134",0.983388285742174,FALSE
"PONS","GSM395231","1136",0.987457370354385,FALSE
"PONS","GSM395092","1158",0.976653568797072,FALSE
"PONS","GSM395146","1170",0.98414361359913,FALSE
