"tissue","sample","individual","cor","dev","outlier"
"PONS","GSM394532","2066",0.981163254644845,91.2526909123439,FALSE
"FCTX","GSM394316","1640",0.981641421314484,91.2508238633466,FALSE
"FCTX","GSM394375","5028",0.981486546002154,91.2258252394299,FALSE
"CRBLM","GSM394108","1840",0.981212092305591,91.0874657386236,FALSE
"FCTX","GSM394349","1496",0.981983962202629,91.0105529245765,FALSE
"CRBLM","GSM394234","602",0.981370706151871,90.9564070481562,FALSE
"PONS","GSM394423","4924",0.981101669681627,90.014785960516,FALSE
"FCTX","GSM394295","1571",0.981937936379332,89.5858934475999,FALSE
"FCTX","GSM394293","1545",0.981909752620747,89.1305810189912,FALSE
"FCTX","GSM394311","1939",0.982123851664022,88.4438689891374,FALSE
"FCTX","GSM394261","4542",0.981993594346788,88.0756155930425,FALSE
"CRBLM","GSM394119","4542",0.981854013098062,87.7684434632746,FALSE
"PONS","GSM394452","1935",0.981542294201188,87.3366480626943,FALSE
"FCTX","GSM394314","1595",0.982225022276353,87.0675607147506,FALSE
"CRBLM","GSM394162","1668",0.982203270655718,86.9056760593802,FALSE
"PONS","GSM394387","1326",0.981742196170767,86.5513315276558,FALSE
"TCTX","GSM394557","1907",0.981878482907971,86.5118072521991,FALSE
"PONS","GSM394386","4263",0.981818971864225,86.007742395519,FALSE
"CRBLM","GSM394115","2020",0.982562086986968,85.8686238869916,FALSE
"CRBLM","GSM394116","2069",0.982498813356326,84.7187465566692,FALSE
"CRBLM","GSM394117","4590",0.982553729283941,84.3132625979493,FALSE
"PONS","GSM394536","602",0.982253748494424,84.2537038239742,FALSE
"FCTX","GSM394370","1902",0.983021625951416,84.2397165830266,FALSE
"TCTX","GSM394626","2102",0.982980830284259,83.0621800098848,FALSE
"FCTX","GSM394258","2069",0.983142129438614,82.3836457845473,FALSE
"PONS","GSM394506","1825",0.982891167592175,81.0811225788414,FALSE
"PONS","GSM394425","5078",0.982901937537798,80.920173306298,FALSE
"FCTX","GSM394276","4841",0.983727926544992,80.9098181029615,FALSE
"PONS","GSM394385","1209",0.983211685370479,79.8877164246366,FALSE
"CRBLM","GSM394111","1883",0.983683555606109,79.7077269032144,FALSE
"CRBLM","GSM394194","1076",0.983584469613064,79.6988246800747,FALSE
"FCTX","GSM394325","827",0.983864301866102,79.3745633373181,FALSE
"PONS","GSM394442","1613",0.983334179034306,79.3173209479742,FALSE
"TCTX","GSM394545","4549",0.98346316027915,79.2671742824461,FALSE
"FCTX","GSM394242","4549",0.984020590381025,78.863937420224,FALSE
"CRBLM","GSM394212","1715",0.98403220872958,78.2868354595029,FALSE
"FCTX","GSM394286","5086",0.984100982834532,78.0117153192838,FALSE
"PONS","GSM394540","871",0.98378104932327,77.7584878706959,FALSE
"FCTX","GSM394249","1839",0.984033976634364,77.5289111249774,FALSE
"PONS","GSM394432","1535",0.983825613839487,77.2142780114443,FALSE
"PONS","GSM394453","1939",0.983792347692079,77.1677513041747,FALSE
"PONS","GSM394487","1206",0.983795825522871,77.1428090591168,FALSE
"TCTX","GSM394564","4542",0.984014706221768,76.8624613567823,FALSE
"FCTX","GSM394262","4543",0.984413075309135,76.2071648891651,FALSE
"CRBLM","GSM394120","4543",0.984580399604033,74.8179135817719,FALSE
"PONS","GSM394508","1028",0.984250281251756,74.6988243305361,FALSE
"CRBLM","GSM394161","1652",0.984713865940015,74.3252542103525,FALSE
"CRBLM","GSM394203","1206",0.98467294841191,74.2979617602848,FALSE
"PONS","GSM394541","879",0.984385574878916,74.0726433721338,FALSE
"CRBLM","GSM394107","1839",0.984757294980406,73.9440890781527,FALSE
"CRBLM","GSM394105","1465",0.984769961721693,73.7332268725332,FALSE
"CRBLM","GSM394135","4842",0.984862457347409,73.5172533194866,FALSE
"TCTX","GSM394558","1940",0.984695969120119,73.4059175232632,FALSE
"CRBLM","GSM394137","4915",0.98499613438199,73.0755096308269,FALSE
"PONS","GSM394441","1612",0.984866908478,72.7841797283083,FALSE
"TCTX","GSM394549","142",0.984839386474494,72.6962176866577,FALSE
"FCTX","GSM394255","1940",0.985165495463571,72.6573856114365,FALSE
"TCTX","GSM394627","745",0.985238118450481,71.6881487130065,FALSE
"CRBLM","GSM394101","1209",0.985273601093496,71.5955089466264,FALSE
"FCTX","GSM394251","1846",0.98525452171267,71.4524879215511,FALSE
"CRBLM","GSM394136","4903",0.985240032414499,71.4446685613507,FALSE
"PONS","GSM394395","1883",0.984933490418844,71.4364032648046,FALSE
"TCTX","GSM394585","5024",0.985208418981218,71.1858328978655,FALSE
"PONS","GSM394410","4725",0.985068173816897,71.1337635746397,FALSE
"PONS","GSM394497","1715",0.985510793651179,70.3826353553896,FALSE
"FCTX","GSM394374","4789",0.985725315255287,69.8930873560954,FALSE
"PONS","GSM394406","4593",0.985441890999612,69.7593660656198,FALSE
"TCTX","GSM394663","1037",0.985707811533051,69.7031476084035,FALSE
"PONS","GSM394534","4789",0.985270880176019,69.6677842169607,FALSE
"TCTX","GSM394656","1713",0.985543696484714,69.6239719626655,FALSE
"PONS","GSM394391","1839",0.985469008667895,69.2208197988997,FALSE
"PONS","GSM394443","1614",0.985642108918055,68.8944127077307,FALSE
"TCTX","GSM394608","1710",0.985651899553385,68.8642786754169,FALSE
"TCTX","GSM394667","1838",0.985675673190344,68.8033980438951,FALSE
"PONS","GSM394415","4786",0.985552949902759,68.7498525811498,FALSE
"TCTX","GSM394613","1935",0.985854618417033,68.5624416612659,FALSE
"TCTX","GSM394583","4916",0.985738669298422,68.2755413514192,FALSE
"PONS","GSM394524","1865",0.985873371475579,68.0898882638496,FALSE
"FCTX","GSM394300","1613",0.986128959544607,67.8572543917117,FALSE
"PONS","GSM394491","1496",0.986061889246273,67.6985765871725,FALSE
"PONS","GSM394414","4782",0.98586834889454,67.6718428564719,FALSE
"CRBLM","GSM394209","1570",0.986564012521283,67.1739475376836,FALSE
"TCTX","GSM394552","1839",0.986089134641901,66.7842402843199,FALSE
"FCTX","GSM394257","2020",0.986305883882228,66.5706176372613,FALSE
"TCTX","GSM394616","1579",0.986315525181732,66.4747677609606,FALSE
"FCTX","GSM394259","4590",0.986377093154104,66.4685792378487,FALSE
"FCTX","GSM394309","1936",0.986671007482523,66.0011244091537,FALSE
"PONS","GSM394436","1568",0.986140978910089,65.8888098816382,FALSE
"TCTX","GSM394559","2000",0.986353942779121,65.2982380528719,FALSE
"TCTX","GSM394575","4782",0.986405491506102,65.1276351565,FALSE
"FCTX","GSM394308","1917",0.986689954193166,64.926027060571,FALSE
"PONS","GSM394433","1540",0.986482276746921,64.8310087042736,FALSE
"PONS","GSM394418","4841",0.986485549040145,64.6308651297699,FALSE
"PONS","GSM394512","1541",0.986700860516881,64.588293116901,FALSE
"CRBLM","GSM394225","1865",0.987033243553378,64.1370342630226,FALSE
"TCTX","GSM394578","927",0.986655819237093,64.1126748644212,FALSE
"CRBLM","GSM394127","4726",0.986788935778704,64.0471823658629,FALSE
"FCTX","GSM394367","1865",0.987143344965146,63.9471372441889,FALSE
"FCTX","GSM394264","4593",0.987152767411583,62.6473272972662,FALSE
"PONS","GSM394461","1924",0.986946768545872,62.5210678230879,FALSE
"FCTX","GSM394271","4729",0.9872138141439,62.3814872491565,FALSE
"PONS","GSM394412","4727",0.986962234520722,62.2805557478633,FALSE
"TCTX","GSM394612","1936",0.986954588581628,62.2463661554825,FALSE
"TCTX","GSM394657","1715",0.98716096582742,62.0922742290863,FALSE
"PONS","GSM394403","4542",0.987041996646926,62.0601532843449,FALSE
"TCTX","GSM394580","4842",0.987122862225062,61.7260804023556,FALSE
"CRBLM","GSM394215","1797",0.987332250497161,61.4925646273541,FALSE
"PONS","GSM394504","1797",0.9872178485221,61.3943120154651,FALSE
"FCTX","GSM394256","2000",0.987497313444405,60.7883180582564,FALSE
"TCTX","GSM394664","1541",0.987660278346704,60.226299827114,FALSE
"TCTX","GSM394590","5087",0.98745606114982,60.2099972762364,FALSE
"TCTX","GSM394670","1865",0.987521343484246,59.957575129894,FALSE
"CRBLM","GSM394134","4841",0.987729675685502,59.895868042279,FALSE
"TCTX","GSM394679","602",0.987600207278004,59.6113102461115,FALSE
"CRBLM","GSM394172","1595",0.988025241844549,59.0311623258202,FALSE
"TCTX","GSM394592","1502",0.987841812074321,58.5429869843227,FALSE
"FCTX","GSM394378","813",0.988125644149977,57.9792227646576,FALSE
"CRBLM","GSM394216","1825",0.98821505440207,57.9641587140861,FALSE
"CRBLM","GSM394098","1105",0.988130947937034,57.6692573472085,FALSE
"TCTX","GSM394553","1840",0.987930895303214,57.6612530991648,FALSE
"CRBLM","GSM394143","5081",0.988169089612585,57.4959696247348,FALSE
"FCTX","GSM394322","2093",0.98855042957156,57.1857966277436,FALSE
"FCTX","GSM394347","1230",0.988301923110521,57.1439403301591,FALSE
"TCTX","GSM394674","880",0.988129558584456,57.090898311273,FALSE
"CRBLM","GSM394228","1902",0.988385754917306,56.8997816629083,FALSE
"CRBLM","GSM394233","5028",0.988454455212885,56.6366187962953,FALSE
"TCTX","GSM394561","2069",0.988230450158494,56.5927107602496,FALSE
"PONS","GSM394463","2037",0.988211843498512,56.362867609185,FALSE
